,code,disorder,symptome
24,F91.2,Conduct Disorder: Childhood-onset type,individual age 18 years older criteria met antisocial personality disorder
25,F91.2,Conduct Disorder: Childhood-onset type,run away home overnight least twice living parental parental surrogate home without returning lengthy period
26,F91.2,Conduct Disorder: Childhood-onset type,often stays night despite parental prohibitions beginning age 13 years
27,F91.2,Conduct Disorder: Childhood-onset type,repetitive persistent pattern behavior basic rights others major age-appropriate societal norms rules violated manifested presence least three following 15 criteria past 12 months categories least one criterion present past 6 months
28,F31.81,Bipolar II disorder,distractibility e attention easily drawn unimportant irrelevant external stimuli reported observed
29,F31.81,Bipolar II disorder,talkative usual pressure keep talking
30,F31.81,Bipolar II disorder,disturbance mood change functioning observable others
31,F31.81,Bipolar II disorder,distinct period abnormally persistently elevated expansive irritable mood abnormally persistently increased activity energy lasting least 4 consecutive days present day nearly every day
32,F31.81,Bipolar II disorder,increase goal-directed activity either socially work school sexually psychomotor agitation
33,F31.81,Bipolar II disorder,excessive involvement activities high potential painful consequences e g engaging unrestrained buying sprees sexual indiscretions foolish business investments
34,F31.81,Bipolar II disorder,inflated self-esteem grandiosity
35,F31.81,Bipolar II disorder,decreased need sleep e g feels rested 3 hours sleep
36,F31.81,Bipolar II disorder,flight ideas subjective experience thoughts racing
37,F45.21,Illness anxiety disorder,illness preoccupation present least 6 months specific illness feared may change period time
38,F45.21,Illness anxiety disorder,high level anxiety health individual easily alarmed personal health status
39,F45.21,Illness anxiety disorder,somatic symptoms present present mild intensity another medical condition present high risk developing medical condition e g strong family history present preoccupation clearly excessive disproportionate
40,F45.21,Illness anxiety disorder,individual performs excessive health-related behaviors e g repeatedly checks body signs illness exhibits maladaptive avoidance e g avoids doctor appointments hospitals
41,F45.21,Illness anxiety disorder,preoccupation acquiring serious illness
42,F60.5,Obsessive-Compulsive Personality Disorder,excessively devoted work productivity exclusion leisure activities friendships accounted obvious economic necessity
43,F60.5,Obsessive-Compulsive Personality Disorder,reluctant delegate tasks work others unless submit exactly way things
44,F60.5,Obsessive-Compulsive Personality Disorder,shows rigidity stubbornness
45,F60.5,Obsessive-Compulsive Personality Disorder,preoccupied details rules lists order organization schedules extent major point activity lost
46,F60.5,Obsessive-Compulsive Personality Disorder,shows perfectionism interferes task completion e g unable complete project overly strict standards met
47,F60.5,Obsessive-Compulsive Personality Disorder,adopts miserly spending style toward self others money viewed something hoarded future catastrophes
48,F60.5,Obsessive-Compulsive Personality Disorder,unable discard worn-out worthless objects even sentimental value
49,F60.5,Obsessive-Compulsive Personality Disorder,overconscientious scrupulous inflexible matters morality ethics values accounted cultural religious identification
50,F63.3,Trichotillomania (hair-pulling disorder),hair pulling causes clinically significant distress impairment social occupational important areas functioning
51,F63.3,Trichotillomania (hair-pulling disorder),recurrent pulling ones hair resulting hair loss
52,F63.3,Trichotillomania (hair-pulling disorder),repeated attempts decrease stop hair pulling
53,L98.1,,skin picking causes clinically significant distress impairment social occupational important areas functioning
54,L98.1,,recurrent skin picking resulting skin lesions
55,L98.1,,repeated attempts decrease stop skin picking
56,F42,,obsessions compulsions time-consuming e g take 1 hour per day cause clinically significant distress impairment social occupational important areas functioning
57,F42,,behaviors mental acts aimed preventing reducing anxiety distress preventing dreaded event situation however behaviors mental acts connected realistic way designed neutralize prevent clearly excessive
58,F42,,presence obsessions compulsions koro related syndrome see glossary cultural concepts distress appendix episode sudden intense anxiety penis vulva nipples females recede body possibly leading death
59,F42,,jikoshu-kyofu variant taijin kyofusho see glossary cultural concepts distress appendix characterized fear offensive body odor also termed olfactory reference syndrome
60,F42,,shubo-kyofu variant taijin kyofusho see glossary cultural concepts distress appendix similar body dysmorphic disorder characterized excessive fear bodily deformity
61,F42,,obsessional jealousy characterized nondelusional preoccupation partners perceived infidelity preoccupations may lead repetitive behaviors mental acts response infidelity concerns cause clinically significant distress impairment social occupational important areas functioning better explained another mental disorder delusional disorder jealous type paranoid personality disorder
62,F42,,repetitive behaviors e g hand washing ordering checking mental acts e g praying counting repeating words silently individual feels driven perform response obsession according rules must applied rigidly
63,F42,,body-focused repetitive behavior disorder characterized recurrent body-focused repetitive behaviors e g nail biting lip biting cheek chewing repeated attempts decrease stop behaviors symptoms cause clinically significant distress impairment social occupational important areas functioning better explained trichotillomania hair-pulling disorder excoriation skin-picking disorder stereotypic movement disorder nonsuicidal self-injury
64,F42,,persistent difficulty discarding parting possessions regardless actual value
65,F42,,difficulty due perceived need save items distress associated discarding
66,F42,,difficulty discarding possessions results accumulation possessions congest clutter active living areas substantially compromises intended use living areas uncluttered interventions third parties e g family members cleaners authorities
67,F42,,individual attempts ignore suppress thoughts urges images neutralize thought action e performing compulsion
68,F42,,recurrent persistent thoughts urges images experienced time disturbance intrusive unwanted individuals cause marked anxiety distress
69,F45.22,Body dysmorphic disorder,preoccupation causes clinically significant distress impairment social occupational important areas functioning
70,F45.22,Body dysmorphic disorder,preoccupation one perceived defects flaws physical appearance observable appear slight others
71,F45.22,Body dysmorphic disorder,point course disorder individual performed repetitive behaviors e g mirror checking excessive grooming skin picking reassurance seeking mental acts e g comparing appearance others response appearance concerns
72,F84.0,Autism Spectrum Disorder,highly restricted fixated interests abnormal intensity focus e g strong attachment preoccupation unusual objects excessively circumscribed perseverative interests
73,F84.0,Autism Spectrum Disorder,deficits nonverbal communicative behaviors used social interaction ranging example poorly integrated verbal nonverbal communication abnormalities eye contact body language deficits understanding use gestures total lack facial expressions nonverbal communication
74,F84.0,Autism Spectrum Disorder,persistent deficits social communication social interaction across multiple contexts manifested following currently history examples illustrative exhaustive see text deficits social-emotional reciprocity ranging example abnormal social approach failure normal back-and-forth conversation reduced sharing interests emotions affect failure initiate respond social interactions
75,F84.0,Autism Spectrum Disorder,deficits developing maintaining understanding relationships ranging example difficulties adjusting behavior suit various social contexts difficulties sharing imaginative play making friends absence interest peers
76,F84.0,Autism Spectrum Disorder,stereotyped repetitive motor movements use objects speech e g simple motor stereotypies lining toys flipping objects echolalia idiosyncratic phrases
77,F84.0,Autism Spectrum Disorder,symptoms must present early developmental period may become fully manifest social demands exceed limited capacities may masked learned strategies later life
78,F84.0,Autism Spectrum Disorder,restricted repetitive patterns behavior interests activities manifested least two following currently history examples illustrative exhaustive see text insistence sameness inflexible adherence routines ritualized patterns verbal nonverbal behavior e g extreme distress small changes difficulties transitions rigid thinking patterns greeting rituals need take route eat food every day
79,F84.0,Autism Spectrum Disorder,hyper- hyporeactivity sensory input unusual interest sensory aspects environment e g apparent indifference pain temperature adverse response specific sounds textures excessive smelling touching objects visual fascination lights movement
80,F34.1,Persistent depressive disorder (dysthymia),poor concentration difficulty making decisions
81,F34.1,Persistent depressive disorder (dysthymia),note children adolescents mood irritable duration must least 1 year
82,F34.1,Persistent depressive disorder (dysthymia),2-year period 1 year children adolescents disturbance individual never without symptoms criteria b 2 months time
83,F34.1,Persistent depressive disorder (dysthymia),criteria major depressive disorder may continuously present 2 years
84,F34.1,Persistent depressive disorder (dysthymia),poor appetite overeating
85,F34.1,Persistent depressive disorder (dysthymia),feelings hopelessness
86,F34.1,Persistent depressive disorder (dysthymia),depressed mood day days indicated either subjective account observation others least 2 years
87,F34.1,Persistent depressive disorder (dysthymia),never manic episode hypomanic episode criteria never met cyclothymic disorder
88,F34.1,Persistent depressive disorder (dysthymia),low self-esteem
89,F34.1,Persistent depressive disorder (dysthymia),low energy fatigue
90,F34.1,Persistent depressive disorder (dysthymia),insomnia hypersomnia
91,F50.2,Bulimia nervosa,recurrent inappropriate compensatory behaviors order prevent weight gain self-induced vomiting misuse laxatives diuretics medications fasting excessive exercise
92,F50.2,Bulimia nervosa,disturbance occur exclusively episodes anorexia nervosa
93,F50.2,Bulimia nervosa,sense lack control eating episode e g feeling one stop eating control much one eating
94,F50.2,Bulimia nervosa,recurrent episodes binge eating episode binge eating characterized following eating discrete period time e g within 2-hour period amount food definitely larger individuals would eat similar period time similar circumstances
95,F50.2,Bulimia nervosa,binge eating inappropriate compensatory behaviors occur average least week 3 months
96,F50.2,Bulimia nervosa,self-evaluation unduly influenced body shape weight
97,F50.8,,marked interference psychosocial functioning
98,F50.8,,dependence enteral feeding oral nutritional supplements
99,F50.8,,recurrent episodes binge eating episode binge eating characterized following eating feeling uncomfortably full
100,F50.8,,binge eating associated recurrent use inappropriate compensatory behavior bulimia nervosa occur exclusively course bulimia nervosa anorexia nervosa
101,F50.8,,eating large amounts food feeling physically hungry
102,F50.8,,eating much rapidly normal
103,F50.8,,bulimia nervosa low frequency limited duration criteria bulimia nervosa met except binge eating inappropriate compensatory behaviors occur average less week less 3 months
104,F50.8,,eating disturbance occur exclusively course anorexia nervosa bulimia nervosa evidence disturbance way ones body weight shape experienced
105,F50.8,,binge-eating episodes associated three following eating feeding disturbance e g apparent lack interest eating food avoidance based sensory characteristics food concern aversive consequences eating manifested persistent failure meet appropriate nutritional energy needsassociated withone following eating discrete period time e g within 2-hour period amount food definitely larger people would eat similar period time similar circumstances
106,F50.8,,eating alone feeling embarrassed much one eating
107,F50.8,,binge eating occurs average least week 3 months
108,F50.8,,atypical anorexia nervosa criteria anorexia nervosa met except despite significant weight loss individuals weight within normal range
109,F50.8,,marked distress regarding binge eating present
110,F50.8,,feeling disgusted oneself depressed guilty afterward
111,F50.8,,significant nutritional deficiency
112,F50.8,,significant weight loss failure achieve expected weight gain faltering growth children
113,F98.21,Rumination Disorder,repeated regurgitation food period least 1 month regurgitated food may re-chewed re-swallowed spit
114,F98.21,Rumination Disorder,repeated regurgitation attributable associated gastrointestinal medical condition e g gastroesophageal reflux pyloric stenosis
115,F98.21,Rumination Disorder,eating disturbance occur exclusively course anorexia nervosa bulimia nervosa binge-eating disorder oravoidant restrictive food intake disorder
116,F43.10,Posttraumatic Stress Disorder,disturbance causes clinically significant distress impairment social occupational important areas functioning
117,F43.10,Posttraumatic Stress Disorder,markedly diminished interest participation significant activities
118,F43.10,Posttraumatic Stress Disorder,problems concentration
119,F43.10,Posttraumatic Stress Disorder,avoidance efforts avoid external reminders people places conversations activities objects situations arouse distressing memories thoughts feelings closely associated traumatic event
120,F43.10,Posttraumatic Stress Disorder,irritable behavior angry outbursts little provocation typically expressed verbal physical aggression toward people objects
121,F43.10,Posttraumatic Stress Disorder,duration disturbance criteria b c e 1 month
122,F43.10,Posttraumatic Stress Disorder,intense prolonged psychological distress exposure internal external cues symbolize resemble aspect traumatic event
123,F43.10,Posttraumatic Stress Disorder,feelings detachment estrangement others
124,F43.10,Posttraumatic Stress Disorder,persistent negative emotional state e g fear horror anger guilt shame
125,F43.10,Posttraumatic Stress Disorder,persistent inability experience positive emotions e g inability experience happiness satisfaction loving feelings
126,F43.10,Posttraumatic Stress Disorder,negative alterations cognitions mood associated traumatic event beginning worsening traumatic event occurred evidenced two following witnessing person event occurred others
127,F43.10,Posttraumatic Stress Disorder,note children may frightening dreams without recognizable content
128,F43.10,Posttraumatic Stress Disorder,inability remember important aspect traumatic event typically due dissociative amnesia factors head injury alcohol drugs
129,F43.10,Posttraumatic Stress Disorder,exaggerated startle response
130,F43.10,Posttraumatic Stress Disorder,presence one following intrusion symptoms associated traumatic event beginning traumatic event occurred persistent avoidance stimuli associated traumatic event beginning traumatic event occurred evidenced one following exposure actual threatened death serious injury sexual violence one following ways reckless self-destructive behavior
131,F43.10,Posttraumatic Stress Disorder,sleep disturbance e g difficulty falling staying asleep restless sleep
132,F43.10,Posttraumatic Stress Disorder,marked physiological reactions internal external cues symbolize resemble aspect traumatic event
133,F43.10,Posttraumatic Stress Disorder,persistent exaggerated negative beliefs expectations oneself others world e g bad one trusted world completely dangerous whole nervous system permanently ruined
134,F43.10,Posttraumatic Stress Disorder,hypervigilance
135,F43.10,Posttraumatic Stress Disorder,directly experiencing traumatic event
136,F43.10,Posttraumatic Stress Disorder,persistent distorted cognitions cause consequences traumatic event lead individual blame others
137,F43.10,Posttraumatic Stress Disorder,experiencing repeated extreme exposure aversive details traumatic event e g first responders collecting human remains police officers repeatedly exposed details child abuse
138,F43.10,Posttraumatic Stress Disorder,learning traumatic event occurred close family member close friend cases actual threatened death family member friend event must violent accidental
139,F43.10,Posttraumatic Stress Disorder,marked alterations arousal reactivity associated traumatic event beginning worsening traumatic event occurred evidenced two following recurrent distressing dreams content affect dream related traumatic event
140,F43.10,Posttraumatic Stress Disorder,dissociative reactions e g flashbacks individual feels acts traumatic event recurring reactions may occur continuum extreme expression complete loss awareness present surroundings recurrent involuntary intrusive distressing memories traumatic event
141,F60.1,Schizoid Personality Disorder,takes pleasure activities
142,F60.1,Schizoid Personality Disorder,appears indifferent praise criticism others
143,F60.1,Schizoid Personality Disorder,shows emotional coldness detachment flattened affectivity
144,F60.1,Schizoid Personality Disorder,lacks close friends confidants first-degree relatives
145,F60.1,Schizoid Personality Disorder,neither desires enjoys close relationships including part family
146,F60.1,Schizoid Personality Disorder,pervasive pattern detachment social relationships restricted range expression emotions interpersonal settings beginning early adulthood present variety contexts indicated four following almost always chooses solitary activities
147,F60.1,Schizoid Personality Disorder,little interest sexual experiences another person
148,F60.1,Schizoid Personality Disorder,occur exclusively course schizophrenia bipolar disorder depressive disorder psychotic features another psychotic disorder autism spectrum disorder attributable physiological effects another medical condition
149,N94.3,,symptoms associated clinically significant distress interference work school usual social activities relationships others e g avoidance social activities decreased productivity efficiency work school home
150,N94.3,,decreased interest usual activities e g work school friends hobbies
151,N94.3,,subjective difficulty concentration
152,N94.3,,note symptoms criteria ac must met menstrual cycles occurred preceding year
153,N94.3,,majority menstrual cycles least five symptoms must present final week onset menses start improve within days onset menses become minimal absent week postmenses
154,N94.3,,marked depressed mood feelings hopelessness self-deprecating thoughts
155,N94.3,,marked irritability anger increased interpersonal conflicts
156,N94.3,,marked anxiety tension feelings keyed edge
157,N94.3,,sense overwhelmed control
158,N94.3,,marked affective lability e g mood swings feeling suddenly sad tearful increased sensitivity rejection
159,N94.3,,criterion confirmed prospective daily ratings least two symptomatic cycles note diagnosis may made provisionally prior confirmation lethargy easy fatigability marked lack energy
160,N94.3,,hypersomnia insomnia
161,N94.3,,marked change appetite overeating specific food cravings
162,N94.3,,physical symptoms breast tenderness swelling joint muscle pain sensation bloating weight gain
163,F05,,disturbance attention e reduced ability direct focus sustain shift attention awareness reduced orientation environment
164,F05,,additional disturbance cognition e g memory deficit disorientation language visuospatial ability perception
165,F05,,disturbance develops short period time usually hours days represents change baseline attention awareness tends fluctuate severity course day
166,F05,,evidence history physical examination laboratory findings disturbance direct physiologicalconsequence another medical condition substance intoxication withdrawal e due drug abuse medication exposure toxin due multiple etiologies
167,F11.20,Opioid Use Disorder,great deal time spent activities necessary obtain opioid use opioid recover effects
168,F11.20,Opioid Use Disorder,important social occupational recreational activities given reduced opioid use
169,F11.20,Opioid Use Disorder,recurrent opioid use resulting failure fulfill major role obligations work school home
170,F11.20,Opioid Use Disorder,continued opioid use despite persistent recurrent social interpersonal problems caused exacerbated effects opioids
171,F11.20,Opioid Use Disorder,opioids closely related substance taken relieve avoid withdrawal symptoms
172,F11.20,Opioid Use Disorder,craving strong desire urge use opioids
173,F11.20,Opioid Use Disorder,recurrent opioid use situations physically hazardous
174,F11.20,Opioid Use Disorder,continued opioid use despite knowledge persistent recurrent physical psychological problem likely caused exacerbated substance
175,F11.20,Opioid Use Disorder,markedly diminished effect continued use amount opioid
176,F11.20,Opioid Use Disorder,opioids often taken larger amounts longer period intended
177,F11.20,Opioid Use Disorder,persistent desire unsuccessful efforts cut control opioid use
178,F11.20,Opioid Use Disorder,need markedly increased amounts opioids achieve intoxication desired effect
179,F11.20,Opioid Use Disorder,withdrawal manifested either following withdrawal manifested either following tolerance defined either following tolerance defined either following characteristic opioid withdrawal syndrome refer criteria b criteria set opioid withdrawal pp 547548
180,F11.20,Opioid Use Disorder,characteristic opioid withdrawal syndrome refer criteria b criteria set opioid withdrawal pp 547548
181,F12.20,Cannabis Use Disorder,great deal time spent activities necessary obtain cannabis use cannabis recover effects
182,F12.20,Cannabis Use Disorder,cannabis closely related substance taken relieve avoid withdrawal symptoms
183,F12.20,Cannabis Use Disorder,craving strong desire urge use cannabis
184,F12.20,Cannabis Use Disorder,recurrent cannabis use situations physically hazardous
185,F12.20,Cannabis Use Disorder,cannabis use continued despite knowledge persistent recurrent physical psychological problem likely caused exacerbated cannabis
186,F12.20,Cannabis Use Disorder,continued cannabis use despite persistent recurrent social interpersonal problems caused exacerbated effects cannabis
187,F12.20,Cannabis Use Disorder,persistent desire unsuccessful efforts cut control cannabis use
188,F12.20,Cannabis Use Disorder,markedly diminished effect continued use amount cannabis
189,F12.20,Cannabis Use Disorder,cannabis often taken larger amounts longer period intended
190,F12.20,Cannabis Use Disorder,need markedly increased amounts cannabis achieve intoxication desired effect
191,F12.20,Cannabis Use Disorder,characteristic withdrawal syndrome cannabis refer criteria b criteria set cannabis withdrawal pp 517518
192,F12.20,Cannabis Use Disorder,withdrawal manifested either following withdrawal manifested either following tolerance defined either following tolerance defined either following important social occupational recreational activities given reduced cannabis use
193,F12.20,Cannabis Use Disorder,important social occupational recreational activities given reduced cannabis use
194,F12.20,Cannabis Use Disorder,recurrent cannabis use resulting failure fulfill major role obligations work school home
195,F17.200,Tobacco Use Disorder,great deal time spent activities necessary obtain use tobacco
196,F17.200,Tobacco Use Disorder,important social occupational recreational activities given reduced tobacco use
197,F17.200,Tobacco Use Disorder,recurrent tobacco use resulting failure fulfill major role obligations work school home e g interference work
198,F17.200,Tobacco Use Disorder,craving strong desire urge use tobacco
199,F17.200,Tobacco Use Disorder,recurrent tobacco use situations physically hazardous e g smoking bed
200,F17.200,Tobacco Use Disorder,tobacco use continued despite knowledge persistent recurrent physical psychological problem likely caused exacerbated tobacco
201,F17.200,Tobacco Use Disorder,continued tobacco use despite persistent recurrent social interpersonal problems caused exacerbated effects tobacco e g arguments others tobacco use
202,F17.200,Tobacco Use Disorder,persistent desire unsuccessful efforts cut control tobacco use
203,F17.200,Tobacco Use Disorder,tobacco closely related substance nicotine taken relieve avoid withdrawal symptoms
204,F17.200,Tobacco Use Disorder,need markedly increased amounts tobacco achieve desired effect
205,F17.200,Tobacco Use Disorder,markedly diminished effect continued use amount tobacco
206,F17.200,Tobacco Use Disorder,withdrawal manifested either following withdrawal manifested either following characteristic withdrawal syndrome tobacco refer criteria b criteria set tobacco withdrawal
207,F17.200,Tobacco Use Disorder,characteristic withdrawal syndrome tobacco refer criteria b criteria set tobacco withdrawal
208,F17.200,Tobacco Use Disorder,tolerance defined either following tolerance defined either following tobacco often taken larger amounts longer period intended
209,F17.200,Tobacco Use Disorder,tobacco often taken larger amounts longer period intended
210,F17.200,Tobacco Use Disorder,problematic pattern tobacco use leading clinically significant impairment distress manifested least two following occurring within 12-month period problematic pattern tobacco use leading clinically significant impairment distress manifested least two following occurring within 12-month period
211,F25.1,"Schizoaffective Disorder, bipolar type",uninterrupted period illness major mood episode major depressive manic concurrent criterion schizophrenia
212,F25.1,"Schizoaffective Disorder, bipolar type",delusions hallucinations 2 weeks absence major mood episode depressive manic lifetime duration illness
213,F25.1,"Schizoaffective Disorder, bipolar type",symptoms meet criteria major mood episode present majority total duration active residual portions illness
214,F40.228,Specific Phobia,fear anxiety avoidance causes clinically significant distress impairment social occupational important areas functioning
215,F40.228,Specific Phobia,fear anxiety avoidance persistent typically lasting 6 months
216,F40.228,Specific Phobia,marked fear anxiety specific object situation e g flying heights animals receiving injection seeing blood
217,F40.228,Specific Phobia,phobic object situation almost always provokes immediate fear anxiety
218,F40.228,Specific Phobia,phobic object situation actively avoided endured intense fear anxiety
219,F43.20,Adjustment disorder,significant impairment social occupational important areas functioning
220,F43.20,Adjustment disorder,stressor consequences terminated symptoms persist additional 6 months
221,F43.20,Adjustment disorder,development emotional behavioral symptoms response identifiable stressor occurring within 3 months onset stressor
222,F51.4,Non-Rapid Eye Movement Sleep Arousal Disorders,episodes cause clinically significant distress impairment social occupational important areas functioning
223,F51.4,Non-Rapid Eye Movement Sleep Arousal Disorders,amnesia episodes present
224,F51.4,Non-Rapid Eye Movement Sleep Arousal Disorders,little e g single visual scene dream imagery recalled
225,F51.4,Non-Rapid Eye Movement Sleep Arousal Disorders,sleepwalking repeated episodes rising bed sleep walking sleepwalking individual blank staring face relatively unresponsive efforts others communicate awakened great difficulty
226,F51.4,Non-Rapid Eye Movement Sleep Arousal Disorders,recurrent episodes incomplete awakening sleep usually occurring first third major sleep episode accompanied either one following sleep terrors recurrent episodes abrupt terror arousals sleep usually beginning panicky scream intense fear signs autonomic arousal mydriasis tachycardia rapid breathing sweating episode relative unresponsiveness efforts others comfort individual episodes
227,F64.1,,condition associated clinically significant distress impairment social school important areas functioning
228,F64.1,,strong preference playmates gender
229,F64.1,,strong desire gender insistence one gender alternative gender different ones assigned gender
230,F64.1,,strong preference cross-gender roles make-believe play fantasy play
231,F64.1,,boys assigned gender strong preference cross-dressing simulating female attire girls assigned gender strong preference wearing typical masculine clothing strong resistance wearing typical feminine clothing
232,F64.1,,boys assigned gender strong rejection typically masculine toys games activities strong avoidance rough-and-tumble play girls assigned gender strong rejection typically feminine toys games activities
233,F64.1,,strong desire primary secondary sex characteristics match ones experienced gender
234,F64.1,,strong preference toys games activities stereotypically used engaged gender
235,F64.1,,marked incongruence ones experienced expressed gender assigned gender least 6 months duration manifested least six following one must criterion a1 strong dislike ones sexual anatomy
236,F71,Intellectual disabilities,deficits adaptive functioning result failure meet developmental sociocultural standards personal independence social responsibility without ongoing support adaptive deficits limit functioning one activities daily life communication social participation independent living across multiple environments home school work community
237,F71,Intellectual disabilities,deficits intellectual functions reasoning problem solving planning abstract thinking judgment academic learning learning experience confirmed clinical assessment individualized standardized intelligence testing
238,F71,Intellectual disabilities,onset intellectual adaptive deficits developmental period
239,F81.2,Specific Learning Disorder,difficulties mastering number sense number facts calculation e g poor understanding numbers magnitude relationships counts fingers add single-digit numbers instead recalling math fact peers gets lost midst arithmetic computation may switch procedures
240,F81.2,Specific Learning Disorder,difficulties mathematical reasoning e g severe difficulty applying mathematical concepts facts procedures solve quantitative problems
241,F81.2,Specific Learning Disorder,inaccurate slow effortful word reading e g reads single words aloud incorrectly slowly hesitantly frequently guesses words difficulty sounding words
242,F81.2,Specific Learning Disorder,difficulty understanding meaning read e g may read text accurately understand sequence relationships inferences deeper meanings read
243,F81.2,Specific Learning Disorder,difficulties spelling e g may add omit substitute vowels consonants
244,F81.2,Specific Learning Disorder,difficulties written expression e g makes multiple grammatical punctuation errors within sentences employs poor paragraph organization written expression ideas lacks clarity
245,F81.2,Specific Learning Disorder,difficulties learning using academic skills indicated presence least one following symptoms persisted least 6 months despite provision interventions target difficulties affected academic skills substantially quantifiably expected individuals chronological age cause significant interference academic occupational performance activities daily living confirmed individually administered standardized achievement measures comprehensive clinical assessment individuals age 17 years older documented history impairing learning difficulties may substituted standardized assessment
246,F81.2,Specific Learning Disorder,learning difficulties begin school-age years may become fully manifest demands affected academic skills exceed individuals limited capacities e g timed tests reading writing lengthy complex reports tight deadline excessively heavy academic loads
247,F90.0,Attention-Deficit/Hyperactivity Disorder,clear evidence symptoms interfere reduce quality social academic occupational functioning
248,F90.0,Attention-Deficit/Hyperactivity Disorder,often forgetful daily activities e g chores running errands older adolescents adults returning calls paying bills keeping appointments
249,F90.0,Attention-Deficit/Hyperactivity Disorder,often difficulty organizing tasks activities e g difficulty managing sequential tasks difficulty keeping materials belongings order messy disorganized work poor time management fails meet deadlines
250,F90.0,Attention-Deficit/Hyperactivity Disorder,often loses things necessary tasks activities e g school materials pencils books tools wallets keys paperwork eyeglasses mobile telephones
251,F90.0,Attention-Deficit/Hyperactivity Disorder,often follow instructions fails finish schoolwork chores duties workplace e g starts tasks quickly loses focus easily sidetracked
252,F90.0,Attention-Deficit/Hyperactivity Disorder,often fails give close attention details makes careless mistakes schoolwork work activities e g overlooks misses details work inaccurate
253,F90.0,Attention-Deficit/Hyperactivity Disorder,often easily distracted extraneous stimuli older adolescents adults may include unrelated thoughts
254,F90.0,Attention-Deficit/Hyperactivity Disorder,often leaves seat situations remaining seated expected e g leaves place classroom office workplace situations require remaining place
255,F90.0,Attention-Deficit/Hyperactivity Disorder,often seem listen spoken directly e g mind seems elsewhere even absence obvious distraction
256,F90.0,Attention-Deficit/Hyperactivity Disorder,often difficulty sustaining attention tasks play activities e g difficulty remaining focused lectures conversations lengthy reading
257,F90.0,Attention-Deficit/Hyperactivity Disorder,several inattentive hyperactive-impulsive symptoms present two settings e g home school work friends relatives activities
258,F90.0,Attention-Deficit/Hyperactivity Disorder,persistent pattern inattention hyperactivity-impulsivity interferes functioning development characterized 1 2 often avoids dislikes reluctant engage tasks require sustained mental effort e g schoolwork homework older adolescents adults preparing reports completing forms reviewing lengthy papers
259,F90.0,Attention-Deficit/Hyperactivity Disorder,often talks excessively
260,F90.0,Attention-Deficit/Hyperactivity Disorder,inattention six following symptoms persisted least 6months degree inconsistent developmental level negatively impacts directly social academic occupational activities often unable play engage leisure activities quietly
261,F90.0,Attention-Deficit/Hyperactivity Disorder,often blurts answer question completed e g completes peoples sentences wait turn conversation
262,F90.0,Attention-Deficit/Hyperactivity Disorder,hyperactivity impulsivity six following symptoms persisted least 6 months degree inconsistent developmental level negatively impacts directly social academic occupational activities often difficulty waiting turn e g waiting line
263,F90.0,Attention-Deficit/Hyperactivity Disorder,often go acting driven motor e g unable uncomfortable still extended time restaurants meetings may experienced others restless difficult keep
264,F90.0,Attention-Deficit/Hyperactivity Disorder,often interrupts intrudes others e g butts conversations games activities may start using peoples things without asking receiving permission adolescents adults may intrude take others
265,F90.0,Attention-Deficit/Hyperactivity Disorder,often fidgets taps hands feet squirms seat
